Configuration,Metric,N,Mean,Std_Error,SD,Variance,Median,Mode,Min,Max,Range,Q1 (25th),Q3 (75th),IQR,Skewness,Kurtosis,CI_95_Lower,CI_95_Upper
Baseline,energy_wh,10000,0.336454942421934,0.000379855060146558,0.0379855060146558,0.00144289866718945,0.334605597483307,0.198959828862315,0.198959828862315,0.473439758408153,0.274479929545838,0.310021648360124,0.362144912020971,0.0521232636608468,0.182534455370636,-0.0734702796109095,0.335710426504047,0.337199458339821
Baseline,deadline_s,10000,239.785750561095,0.181188427220513,18.1188427220513,328.292461586431,239.689097043359,166.579277418578,166.579277418578,309.410859830789,142.831582412211,227.546504140906,252.166873179443,24.6203690385375,-0.00516129317221067,-0.0551449436827487,239.430621243742,240.140879878447
Baseline,commitment_ratio,10000,0.240083853029982,0.000108510314652845,0.0108510314652845,0.000117744883860595,0.239994223184087,0.202635130046936,0.202635130046936,0.280300592085716,0.0776654620387799,0.232845416147725,0.24736583930565,0.0145204231579259,0.0263309987683704,-0.00603392232714128,0.239871172813263,0.240296533246702
Baseline,p_51_attack,10000,0.407932917576014,8.68082517222762E-05,0.00868082517222762,7.53567256707806E-05,0.408004621452731,0.375759526331427,0.375759526331427,0.437891895962451,0.062132369631024,0.40210732855548,0.41372366708182,0.0116163385263408,-0.0263309987683588,-0.00603392232714217,0.407762773402638,0.40810306174939
Baseline,gini,10000,0.500526367237505,0.000201463087039604,0.0201463087039604,0.000405873754395269,0.500745508199901,0.436600602190433,0.436600602190433,0.569877855313365,0.133277253122932,0.486943656691201,0.514326623644774,0.0273829669535731,-0.0476869544187629,-0.132057914177173,0.500131499586908,0.500921234888103
Baseline,deadlock_rate,10000,0.2376962,0.000189576170623965,0.0189576170623965,0.000359391244684469,0.238,0.242,0.174,0.308,0.134,0.226,0.25,0.024,0.0299951668053388,0.00030593434879167,0.237324630705577,0.238067769294423
Baseline,throughput_efficiency,10000,0.0231846,0.000350687340012502,0.0350687340012503,0.00122981610445045,0.004,0,0,0.258,0.258,0,0.034,0.034,1.89581388608079,3.58046546580477,0.0224972528135755,0.0238719471864245
Optimized,energy_wh,10000,0.280760794536059,0.000316396845435617,0.0316396845435617,0.0010010696380161,0.27922271140268,0.16633729214456,0.16633729214456,0.394765838115059,0.228428545970499,0.25872093052337,0.302166084775506,0.0434451542521359,0.182502740565133,-0.07369666336696,0.280140656719005,0.281380932353113
Optimized,deadline_s,10000,199.821458800912,0.150990356017094,15.0990356017094,227.980876101688,199.740914202799,138.816064515482,138.816064515482,257.842383192324,119.026318676843,189.622086784088,210.139060982869,20.5169741987812,-0.00516129317220409,-0.0551449436827474,199.525517703119,200.117399898706
Optimized,commitment_ratio,10000,0.337617918323413,0.000152592629980564,0.0152592629980564,0.000232845107243852,0.337491876352622,0.284955651628504,0.284955651628504,0.394172707620538,0.109217055992034,0.327438866457738,0.347858211523571,0.0204193450658332,0.0263309987683567,-0.00603392232714173,0.337318836768651,0.337916999878175
Optimized,p_51_attack,10000,0.32990566534127,0.000122074103984451,0.0122074103984451,0.000149020868636065,0.330006498917902,0.28466183390357,0.28466183390357,0.372035478697197,0.0873736447936274,0.321713430781143,0.33804890683381,0.0163354760526666,-0.0263309987683459,-0.00603392232714173,0.32966640009746,0.330144930585079
Optimized,gini,10000,0.468340125690673,0.00020441325358004,0.020441325358004,0.000417847782391775,0.468636631094227,0.401659963784311,0.401659963784311,0.540894940964956,0.139234977180644,0.454596266312142,0.482334701135267,0.027738434823125,-0.0521183503342657,-0.122748327626018,0.467939475713656,0.46874077566769
Optimized,deadlock_rate,10000,0.2376962,0.000189576170623965,0.0189576170623965,0.000359391244684469,0.238,0.242,0.174,0.308,0.134,0.226,0.25,0.024,0.0299951668053301,0.000305934348792114,0.237324630705577,0.238067769294423
Optimized,throughput_efficiency,10000,0.1346246,0.000548555848420089,0.0548555848420089,0.00300913518835884,0.136,0.136,0,0.334,0.334,0.096,0.172,0.076,0.0474864743707252,-0.250005915803274,0.133549430537097,0.135699769462903
