Parameter,Unit,Baseline,Normalized_Sensitivity,Elasticity,Energy_at_minus_20pct,Energy_at_plus_20pct,Energy_Range
block_time,s,240,0.396526586007352,0.99131646501838,0.269586533089431,0.402919866422764,0.133333333333333
P_idle,W,5,0.394045576012603,0.985113940031508,0.270003656864111,0.402502742648083,0.132499085783972
P_active,W,12,0.00595442398739698,0.0148860599684925,0.335252102696864,0.337254296815331,0.00200219411846669
num_plots_per_node,count,100,0.00231687811679331,0.00579219529198329,0.335863670915989,0.336642728596206,0.000779057680216633
seek_time_per_plot,s,0.01,0.00231307175170952,0.00578267937927379,0.335864310867208,0.336642088644986,0.000777777777777766
read_speed,MB/s,100,3.96496362893435E-06,-9.91240907233587E-06,0.336253999695122,0.336252666463414,-1.33323170714572E-06
plot_size_mb,MB,6.27742328643799,3.80636508429205E-06,9.51591271073012E-06,0.336252559804878,0.336253839707317,1.27990243903309E-06
plot_fraction_read,fraction,0.00025,3.80636508429205E-06,9.51591271073012E-06,0.336252559804878,0.336253839707317,1.27990243903309E-06
commitment_ratio,ratio,0.3375,0,0,0.336253199756097,0.336253199756097,0
deadline_s,s,200,0,0,0.336253199756097,0.336253199756097,0
P_read,W,10,0,0,0.336253199756097,0.336253199756097,0
tx_throughput,tx/s,2000,0,0,0.336253199756097,0.336253199756097,0
nonces_per_plot,count,262144,0,0,0.336253199756097,0.336253199756097,0
scoop_count,count,4096,0,0,0.336253199756097,0.336253199756097,0
network_difficulty,factor,1,0,0,0.336253199756097,0.336253199756097,0
active_miners,count,350,0,0,0.336253199756097,0.336253199756097,0
gini_target,coeff,0.5,0,0,0.336253199756097,0.336253199756097,0
attack_threshold,prob,0.33,0,0,0.336253199756097,0.336253199756097,0
capacity_mult_floor,x,0.125,0,0,0.336253199756097,0.336253199756097,0
capacity_mult_cap,x,8,0,0,0.336253199756097,0.336253199756097,0
